pdb	Hchain	Lchain	model	antigen_chain	antigen_type	antigen_het_name	antigen_name	short_header	date	compound	organism	heavy_species	light_species	antigen_species	authors	resolution	method	r_free	r_factor	scfv	engineered	heavy_subclass	light_subclass	light_ctype	affinity	delta_g	affinity_method	temperature	pmid
9jqp	H	I	0	A	protein	NA	butyrophilin subfamily 3 member a1	IMMUNE SYSTEM	06/18/25	Cryo-EM structure of the HMBPP-primed BTN3A1-BTN3A2-BTN2A1 in complex with agonist antibody TH001	Homo sapiens; Mus musculus	mus musculus	mus musculus	homo sapiens	Zhang, M., Wang, Y.Q., Xiao, J.Y.	3.34	ELECTRON MICROSCOPY	NA	NA	False	False	IGHV1	IGKV1	Kappa	None	None	None	None	None
9jqp	J	K	0	B | E	protein | protein	NA | NA	butyrophilin subfamily 3 member a2 | butyrophilin subfamily 2 member a1	IMMUNE SYSTEM	06/18/25	Cryo-EM structure of the HMBPP-primed BTN3A1-BTN3A2-BTN2A1 in complex with agonist antibody TH001	Homo sapiens; Mus musculus	mus musculus	mus musculus	homo sapiens | homo sapiens	Zhang, M., Wang, Y.Q., Xiao, J.Y.	3.34	ELECTRON MICROSCOPY	NA	NA	False	False	IGHV1	IGKV1	Kappa	None	None	None	None	None
